Cindy Pinkerton,619.978
Donald Spilis,131.298
Matthew Hicks,771.377
Albert Hernandez,209.543
William Valdez,613.569
Dawn Gray,826.608
Steven Kimbrough,188.926
Priscilla Saunders,86.132
Hattie Neumann,562.211
Joan Long,994.626
Joy Tan,-745.960
Arnold Edmond,89.263
Sandra Anderson,585.958
Dorothy Shepherd,-177.940
Gloria Borja,61.405
Frank Babcock,-740.403
Odelia Heppner,-356.463
Richard Champagne,102.165
Nathanial Bushey,243.626
Jade Brockington,-801.858
Angela Marion,-640.705
Jacob Kidder,827.987
Jennifer Bartoszek,537.255
Patricia Lerud,669.774
Horace Pariente,89.980
Anthony Gloden,-638.887
Jay Adams,-515.629
Gary Johnson,-267.551
Delbert Ramirez,565.194
Allyson Gill,338.873
Nancy Haneke,667.899
Juanita Adam,-117.757
Kimberly Fields,-840.855
Patricia Siwiec,822.592
Kenneth Perez,-931.674
Consuelo Holmes,-526.722
Lottie Mcghee,-665.615
Sidney Robey,177.625
Garry Parks,-271.187
Archie Anderson,-468.738
Dorothy Henderson,-218.747
Anna Corson,-758.520
Elmer Fromm,49.655
Gilbert Oatney,-150.654
April Turner,445.796
Charlie Dauenhauer,-132.149
David Knight,101.672
Ute Charon,943.310
Jennifer Murray,-783.158
Randall Defilippis,-797.368
Stephanie Holman,-595.437
Steven Jones,-179.407
Anna Lynch,848.133
David Shiflet,245.135
Willie Kenny,-980.975
Ricky Labounty,556.571
Edmund Dailey,-419.260
John Gilmore,-768.103
Timothy Tapia,-508.205
Brandon Dodd,-212.122
Dolores Grier,382.213
Sara Whitis,105.490
Sheldon Lyerly,637.891
Harold Kercheval,429.520
Shirley Wolfgang,-18.885
Harold Doyle,455.367
Charles Inman,403.96
Robert Call,986.714
Lloyd Faust,452.832
Robert Ruiz,328.241
Gloria May,143.346
Mark Warren,823.580
John Cote,-446.196
Randolph Smith,136.650
Barbara Farrow,-777.24
Franklin Rustad,523.848
Scott Landry,668.470
Lloyd Cole,109.708
Thomas Mcfadden,53.791
Edmund Sells,131.131
Kendrick Patel,-603.288
Raymond Cook,-147.792
Larry Albert,346.147
Jane Koenitzer,-283.103
Vania Smith,301.225
Donald Thornton,-430.385
Clotilde Finney,-241.238
Andrew Sharp,5.605
Patricia Brackins,-994.192
Robert Risbeck,-903.139
Arthur Greer,110.701
Barbara Hannon,-55.61
Claire Garrison,337.620
Wendy Harris,-364.195
Ralph Miller,-935.379
Elizabeth Baldwin,-122.168
Colleen Daniel,-891.443
Robin James,-162.213
Diana Clark,-61.121
Joe Replogle,-38.323
Charles Baird,231.434
Nelda Simmons,-82.309
Patrick Rhodes,-667.479
Dorothy Whitehead,750.232
Edward Huff,-544.259
Louise Mccain,123.155
Helen Green,627.535
Nathan Kiehne,859.128
Gertrude Perron,-405.273
Melvin Koppenhaver,610.600
Robert Leighton,-235.467
Joseph Gismondi,-548.320
Aaron Vest,293.501
Ben Ferree,161.351
Louise Cook,39.844
Debbie Kirkman,-585.786
Frederick Nelson,735.939
James Arbogast,412.780
Joe Cason,-382.23
Sandra Ford,-592.32
Anna Olivarez,226.289
Maria Butler,-430.669
Paul Meltzer,-757.788
Helga Reyes,184.522
Toby Botz,654.366
Herbert Ortega,-207.821
Carrie Adams,-366.228
Elaine Wolfson,951.883
Cynthia Foley,-319.176
Robert Ward,-422.53
Daniel Boyd,-679.96
Annette Parson,-675.859
Louis Payton,240.801
Marie Velasquez,-860.798
Joann Waters,858.727
Susan Troupe,6.117
Carrie Erb,462.218
Andrea Brown,451.162
Earnest Corsaut,-485.101
Lori Moore,29.443
Terrence Prezzia,459.860
Raymond Mcdonald,-829.813
Shannon Burgo,-604.714
Diana Tewani,228.674
Rosemary Blosser,-355.346
William Blount,-308.30
Gladys Saucier,-697.299
Kenneth Marshall,264.197
Ann Stoltzfus,149.129
Lina Jason,632.413
